DATE,CES2023610001
1987-01-01,722.3
1987-02-01,724.2
1987-03-01,727.9
1987-04-01,728.1
1987-05-01,727.6
1987-06-01,728.5
1987-07-01,732.1
1987-08-01,729.2
1987-09-01,731.6
1987-10-01,741.3
1987-11-01,742.8
1987-12-01,743.5
1988-01-01,745.0
1988-02-01,747.0
1988-03-01,750.1
1988-04-01,754.0
1988-05-01,751.2
1988-06-01,757.0
1988-07-01,747.1
1988-08-01,744.5
1988-09-01,740.5
1988-10-01,732.8
1988-11-01,731.7
1988-12-01,730.4
1989-01-01,734.9
1989-02-01,721.9
1989-03-01,707.1
1989-04-01,707.9
1989-05-01,709.3
1989-06-01,706.6
1989-07-01,708.9
1989-08-01,716.6
1989-09-01,710.1
1989-10-01,707.5
1989-11-01,708.1
1989-12-01,705.7
1990-01-01,710.3
1990-02-01,707.3
1990-03-01,703.0
1990-04-01,692.5
1990-05-01,688.6
1990-06-01,681.4
1990-07-01,673.9
1990-08-01,663.3
1990-09-01,656.8
1990-10-01,646.3
1990-11-01,633.8
1990-12-01,624.3
1991-01-01,610.0
1991-02-01,600.3
1991-03-01,598.0
1991-04-01,587.6
1991-05-01,584.8
1991-06-01,579.9
1991-07-01,574.1
1991-08-01,569.3
1991-09-01,568.2
1991-10-01,563.3
1991-11-01,558.2
1991-12-01,554.8
1992-01-01,551.4
1992-02-01,545.6
1992-03-01,544.7
1992-04-01,542.6
1992-05-01,542.6
1992-06-01,542.7
1992-07-01,546.7
1992-08-01,553.0
1992-09-01,556.9
1992-10-01,558.0
1992-11-01,560.0
1992-12-01,560.2
1993-01-01,563.4
1993-02-01,568.1
1993-03-01,570.5
1993-04-01,575.2
1993-05-01,582.4
1993-06-01,582.3
1993-07-01,582.9
1993-08-01,582.8
1993-09-01,586.3
1993-10-01,591.1
1993-11-01,599.3
1993-12-01,607.1
1994-01-01,614.1
1994-02-01,609.4
1994-03-01,620.4
1994-04-01,622.1
1994-05-01,625.4
1994-06-01,627.6
1994-07-01,630.0
1994-08-01,631.9
1994-09-01,633.2
1994-10-01,634.5
1994-11-01,632.4
1994-12-01,633.1
1995-01-01,633.2
1995-02-01,630.1
1995-03-01,630.4
1995-04-01,629.5
1995-05-01,628.0
1995-06-01,626.1
1995-07-01,626.0
1995-08-01,627.5
1995-09-01,629.9
1995-10-01,634.2
1995-11-01,637.5
1995-12-01,638.6
1996-01-01,642.0
1996-02-01,647.0
1996-03-01,650.1
1996-04-01,654.9
1996-05-01,658.7
1996-06-01,663.3
1996-07-01,664.6
1996-08-01,670.6
1996-09-01,674.4
1996-10-01,676.0
1996-11-01,679.7
1996-12-01,681.2
1997-01-01,684.6
1997-02-01,687.8
1997-03-01,695.3
1997-04-01,692.3
1997-05-01,690.8
1997-06-01,690.5
1997-07-01,693.6
1997-08-01,695.1
1997-09-01,695.7
1997-10-01,696.7
1997-11-01,700.0
1997-12-01,703.4
1998-01-01,704.1
1998-02-01,704.2
1998-03-01,708.3
1998-04-01,712.9
1998-05-01,718.5
1998-06-01,725.9
1998-07-01,731.3
1998-08-01,739.2
1998-09-01,739.4
1998-10-01,745.3
1998-11-01,748.7
1998-12-01,754.7
1999-01-01,764.5
1999-02-01,773.9
1999-03-01,778.0
1999-04-01,783.6
1999-05-01,792.2
1999-06-01,798.5
1999-07-01,803.7
1999-08-01,806.1
1999-09-01,810.0
1999-10-01,811.5
1999-11-01,819.6
1999-12-01,822.8
2000-01-01,832.5
2000-02-01,834.3
2000-03-01,843.2
2000-04-01,834.0
2000-05-01,827.9
2000-06-01,826.7
2000-07-01,828.9
