DATE,COMPUTSA
1987-01-01,1862
1987-02-01,1771
1987-03-01,1694
1987-04-01,1735
1987-05-01,1713
1987-06-01,1635
1987-07-01,1685
1987-08-01,1624
1987-09-01,1587
1987-10-01,1577
1987-11-01,1578
1987-12-01,1632
1988-01-01,1554
1988-02-01,1450
1988-03-01,1600
1988-04-01,1615
1988-05-01,1483
1988-06-01,1512
1988-07-01,1527
1988-08-01,1551
1988-09-01,1531
1988-10-01,1529
1988-11-01,1407
1988-12-01,1547
1989-01-01,1561
1989-02-01,1597
1989-03-01,1442
1989-04-01,1542
1989-05-01,1449
1989-06-01,1346
1989-07-01,1386
1989-08-01,1429
1989-09-01,1338
1989-10-01,1333
1989-11-01,1475
1989-12-01,1304
1990-01-01,1508
1990-02-01,1352
1990-03-01,1345
1990-04-01,1332
1990-05-01,1351
1990-06-01,1263
1990-07-01,1295
1990-08-01,1307
1990-09-01,1312
1990-10-01,1282
1990-11-01,1248
1990-12-01,1173
1991-01-01,1149
1991-02-01,1090
1991-03-01,1176
1991-04-01,1093
1991-05-01,1070
1991-06-01,1093
1991-07-01,1076
1991-08-01,1050
1991-09-01,1216
1991-10-01,1076
1991-11-01,1013
1991-12-01,1002
1992-01-01,1061
1992-02-01,1098
1992-03-01,1128
1992-04-01,1083
1992-05-01,1187
1992-06-01,1189
1992-07-01,1251
1992-08-01,1140
1992-09-01,1123
1992-10-01,1139
1992-11-01,1224
1992-12-01,1199
1993-01-01,1135
1993-02-01,1236
1993-03-01,1105
1993-04-01,1216
1993-05-01,1111
1993-06-01,1193
1993-07-01,1090
1993-08-01,1264
1993-09-01,1172
1993-10-01,1246
1993-11-01,1235
1993-12-01,1289
1994-01-01,1228
1994-02-01,1353
1994-03-01,1257
1994-04-01,1374
1994-05-01,1430
1994-06-01,1336
1994-07-01,1281
1994-08-01,1348
1994-09-01,1414
1994-10-01,1378
1994-11-01,1365
1994-12-01,1386
1995-01-01,1423
1995-02-01,1294
1995-03-01,1413
1995-04-01,1342
1995-05-01,1326
1995-06-01,1242
1995-07-01,1352
1995-08-01,1265
1995-09-01,1279
1995-10-01,1335
1995-11-01,1360
1995-12-01,1200
1996-01-01,1402
1996-02-01,1317
1996-03-01,1369
1996-04-01,1327
1996-05-01,1423
1996-06-01,1437
1996-07-01,1453
1996-08-01,1468
1996-09-01,1379
1996-10-01,1392
1996-11-01,1413
1996-12-01,1487
1997-01-01,1377
1997-02-01,1545
1997-03-01,1445
1997-04-01,1438
1997-05-01,1400
1997-06-01,1315
1997-07-01,1313
1997-08-01,1332
1997-09-01,1442
1997-10-01,1396
1997-11-01,1420
1997-12-01,1428
1998-01-01,1316
1998-02-01,1441
1998-03-01,1477
1998-04-01,1498
1998-05-01,1465
1998-06-01,1467
1998-07-01,1552
1998-08-01,1521
1998-09-01,1452
1998-10-01,1452
1998-11-01,1604
1998-12-01,1433
1999-01-01,1599
1999-02-01,1459
1999-03-01,1673
1999-04-01,1580
1999-05-01,1623
1999-06-01,1648
1999-07-01,1597
1999-08-01,1563
1999-09-01,1643
1999-10-01,1593
1999-11-01,1596
1999-12-01,1659
2000-01-01,1574
2000-02-01,1677
2000-03-01,1704
2000-04-01,1610
2000-05-01,1682
2000-06-01,1530
2000-07-01,1495
2000-08-01,1573
2000-09-01,1528
2000-10-01,1513
2000-11-01,1539
2000-12-01,1521
2001-01-01,1456
2001-02-01,1536
2001-03-01,1470
2001-04-01,1574
2001-05-01,1497
2001-06-01,1654
2001-07-01,1582
2001-08-01,1615
2001-09-01,1551
2001-10-01,1599
2001-11-01,1555
2001-12-01,1693
2002-01-01,1632
2002-02-01,1671
2002-03-01,1559
2002-04-01,1625
2002-05-01,1705
2002-06-01,1589
2002-07-01,1615
