DATE,EMRATIO
1987-01-01,61
1987-02-01,61.1
1987-03-01,61.2
1987-04-01,61.3
1987-05-01,61.6
1987-06-01,61.4
1987-07-01,61.6
1987-08-01,61.8
1987-09-01,61.6
1987-10-01,61.8
1987-11-01,61.9
1987-12-01,62
1988-01-01,62
1988-02-01,62.1
1988-03-01,61.9
1988-04-01,62.2
1988-05-01,62
1988-06-01,62.3
1988-07-01,62.3
1988-08-01,62.4
1988-09-01,62.4
1988-10-01,62.5
1988-11-01,62.7
1988-12-01,62.6
1989-01-01,62.9
1989-02-01,62.9
1989-03-01,62.9
1989-04-01,62.9
1989-05-01,62.9
1989-06-01,63
1989-07-01,63
1989-08-01,63.1
1989-09-01,62.8
1989-10-01,62.9
1989-11-01,63
1989-12-01,63
1990-01-01,63.2
1990-02-01,63.2
1990-03-01,63.2
1990-04-01,63
1990-05-01,63.1
1990-06-01,62.9
1990-07-01,62.8
1990-08-01,62.7
1990-09-01,62.5
1990-10-01,62.5
1990-11-01,62.3
1990-12-01,62.2
1991-01-01,62
1991-02-01,61.9
1991-03-01,61.8
1991-04-01,62
1991-05-01,61.6
1991-06-01,61.7
1991-07-01,61.6
1991-08-01,61.5
1991-09-01,61.6
1991-10-01,61.5
1991-11-01,61.4
1991-12-01,61.2
1992-01-01,61.5
1992-02-01,61.3
1992-03-01,61.5
1992-04-01,61.6
1992-05-01,61.5
1992-06-01,61.5
1992-07-01,61.6
1992-08-01,61.6
1992-09-01,61.4
1992-10-01,61.3
1992-11-01,61.4
1992-12-01,61.4
1993-01-01,61.4
1993-02-01,61.4
1993-03-01,61.5
1993-04-01,61.5
1993-05-01,61.7
1993-06-01,61.8
1993-07-01,61.8
1993-08-01,62
1993-09-01,61.7
1993-10-01,61.8
1993-11-01,61.9
1993-12-01,62
1994-01-01,62.2
1994-02-01,62.3
1994-03-01,62.1
1994-04-01,62.3
1994-05-01,62.5
1994-06-01,62.3
1994-07-01,62.3
1994-08-01,62.6
1994-09-01,62.7
1994-10-01,62.9
1994-11-01,63
1994-12-01,63.1
1995-01-01,63.0
1995-02-01,63.1
1995-03-01,63.1
1995-04-01,63.1
1995-05-01,62.7
1995-06-01,62.7
1995-07-01,62.8
1995-08-01,62.8
1995-09-01,62.9
1995-10-01,62.9
1995-11-01,62.8
1995-12-01,62.7
1996-01-01,62.7
1996-02-01,62.9
1996-03-01,63.0
1996-04-01,63
1996-05-01,63.0
1996-06-01,63.2
1996-07-01,63.3
1996-08-01,63.3
1996-09-01,63.4
1996-10-01,63.5
1996-11-01,63.4
1996-12-01,63.4
1997-01-01,63.4
1997-02-01,63.4
1997-03-01,63.6
1997-04-01,63.7
1997-05-01,63.8
1997-06-01,63.7
1997-07-01,63.9
1997-08-01,63.9
1997-09-01,63.9
1997-10-01,63.9
1997-11-01,64.1
1997-12-01,64.0
1998-01-01,64.0
1998-02-01,64.0
1998-03-01,64.0
1998-04-01,64.1
1998-05-01,64.1
1998-06-01,64.0
1998-07-01,64.0
1998-08-01,63.9
1998-09-01,64.2
1998-10-01,64.1
1998-11-01,64.2
1998-12-01,64.3
1999-01-01,64.4
1999-02-01,64.2
1999-03-01,64.2
1999-04-01,64.2
1999-05-01,64.3
1999-06-01,64.2
1999-07-01,64.2
1999-08-01,64.2
1999-09-01,64.2
