DATE,HOUST
1987-01-01,1774
1987-02-01,1784
1987-03-01,1726
1987-04-01,1614
1987-05-01,1628
1987-06-01,1594
1987-07-01,1575
1987-08-01,1605
1987-09-01,1695
1987-10-01,1515
1987-11-01,1656
1987-12-01,1400
1988-01-01,1271
1988-02-01,1473
1988-03-01,1532
1988-04-01,1573
1988-05-01,1421
1988-06-01,1478
1988-07-01,1467
1988-08-01,1493
1988-09-01,1492
1988-10-01,1522
1988-11-01,1569
1988-12-01,1563
1989-01-01,1621
1989-02-01,1425
1989-03-01,1422
1989-04-01,1339
1989-05-01,1331
1989-06-01,1397
1989-07-01,1427
1989-08-01,1332
1989-09-01,1279
1989-10-01,1410
1989-11-01,1351
1989-12-01,1251
1990-01-01,1551
1990-02-01,1437
1990-03-01,1289
1990-04-01,1248
1990-05-01,1212
1990-06-01,1177
1990-07-01,1171
1990-08-01,1115
1990-09-01,1110
1990-10-01,1014
1990-11-01,1145
1990-12-01,969
1991-01-01,798
1991-02-01,965
1991-03-01,921
1991-04-01,1001
1991-05-01,996
1991-06-01,1036
1991-07-01,1063
1991-08-01,1049
1991-09-01,1015
1991-10-01,1079
1991-11-01,1103
1991-12-01,1079
1992-01-01,1176
1992-02-01,1250
1992-03-01,1297
1992-04-01,1099
1992-05-01,1214
1992-06-01,1145
1992-07-01,1139
1992-08-01,1226
1992-09-01,1186
1992-10-01,1244
1992-11-01,1214
1992-12-01,1227
1993-01-01,1210
1993-02-01,1210
1993-03-01,1083
1993-04-01,1258
1993-05-01,1260
1993-06-01,1280
1993-07-01,1254
1993-08-01,1300
1993-09-01,1343
1993-10-01,1392
1993-11-01,1376
1993-12-01,1533
1994-01-01,1272
1994-02-01,1337
1994-03-01,1564
1994-04-01,1465
1994-05-01,1526
1994-06-01,1409
1994-07-01,1439
1994-08-01,1450
1994-09-01,1474
1994-10-01,1450
1994-11-01,1511
1994-12-01,1455
1995-01-01,1407
1995-02-01,1316
1995-03-01,1249
1995-04-01,1267
1995-05-01,1314
1995-06-01,1281
1995-07-01,1461
1995-08-01,1416
1995-09-01,1369
1995-10-01,1369
1995-11-01,1452
1995-12-01,1431
1996-01-01,1467
1996-02-01,1491
1996-03-01,1424
1996-04-01,1516
1996-05-01,1504
1996-06-01,1467
1996-07-01,1472
1996-08-01,1557
1996-09-01,1475
1996-10-01,1392
1996-11-01,1489
1996-12-01,1370
1997-01-01,1355
1997-02-01,1486
1997-03-01,1457
1997-04-01,1492
1997-05-01,1442
1997-06-01,1494
1997-07-01,1437
1997-08-01,1390
1997-09-01,1546
1997-10-01,1520
1997-11-01,1510
1997-12-01,1566
1998-01-01,1525
1998-02-01,1584
1998-03-01,1567
1998-04-01,1540
1998-05-01,1536
1998-06-01,1641
1998-07-01,1698
1998-08-01,1614
1998-09-01,1582
1998-10-01,1715
1998-11-01,1660
1998-12-01,1792
1999-01-01,1748
1999-02-01,1670
1999-03-01,1710
1999-04-01,1553
1999-05-01,1611
1999-06-01,1559
1999-07-01,1669
1999-08-01,1648
1999-09-01,1635
1999-10-01,1608
1999-11-01,1648
1999-12-01,1708
2000-01-01,1636
2000-02-01,1737
2000-03-01,1604
2000-04-01,1626
2000-05-01,1575
2000-06-01,1559
2000-07-01,1463
2000-08-01,1541
2000-09-01,1507
2000-10-01,1549
2000-11-01,1551
2000-12-01,1532
2001-01-01,1600
2001-02-01,1625
2001-03-01,1590
2001-04-01,1649
2001-05-01,1605
2001-06-01,1636
2001-07-01,1670
2001-08-01,1567
2001-09-01,1562
2001-10-01,1540
2001-11-01,1602
2001-12-01,1568
2002-01-01,1698
2002-02-01,1829
2002-03-01,1642
2002-04-01,1592
2002-05-01,1764
2002-06-01,1717
2002-07-01,1655
2002-08-01,1633
2002-09-01,1804
2002-10-01,1648
2002-11-01,1753
2002-12-01,1788
2003-01-01,1853
2003-02-01,1629
2003-03-01,1726
2003-04-01,1643
2003-05-01,1751
2003-06-01,1867
2003-07-01,1897
2003-08-01,1833
2003-09-01,1939
2003-10-01,1967
2003-11-01,2083
2003-12-01,2057
2004-01-01,1911
2004-02-01,1846
2004-03-01,1998
2004-04-01,2003
2004-05-01,1981
2004-06-01,1828
2004-07-01,2002
2004-08-01,2024
2004-09-01,1905
