DATE,PCU327310327310
1987-01-01,100.1
1987-02-01,100.8
1987-03-01,101.2
1987-04-01,100.8
1987-05-01,101.2
1987-06-01,101.2
1987-07-01,101.1
1987-08-01,101.1
1987-09-01,101.1
1987-10-01,101.0
1987-11-01,100.9
1987-12-01,100.6
1988-01-01,100.7
1988-02-01,101.5
1988-03-01,101.1
1988-04-01,101.6
1988-05-01,102.3
1988-06-01,101.7
1988-07-01,101.5
1988-08-01,101.4
1988-09-01,100.9
1988-10-01,100.7
1988-11-01,100.6
1988-12-01,100.6
1989-01-01,100.7
1989-02-01,100.2
1989-03-01,100.2
1989-04-01,101.2
1989-05-01,101.2
1989-06-01,101.2
1989-07-01,101.2
1989-08-01,100.9
1989-09-01,101.6
1989-10-01,101.7
1989-11-01,101.6
1989-12-01,101.7
1990-01-01,101.7
1990-02-01,101.7
1990-03-01,102.0
1990-04-01,102.5
1990-05-01,102.5
1990-06-01,102.4
1990-07-01,102.7
1990-08-01,102.8
1990-09-01,103.5
1990-10-01,103.6
1990-11-01,103.7
1990-12-01,103.8
1991-01-01,105.0
1991-02-01,105.3
1991-03-01,105.8
1991-04-01,106.3
1991-05-01,106.7
1991-06-01,106.6
1991-07-01,106.4
1991-08-01,106.2
1991-09-01,105.4
1991-10-01,105.5
1991-11-01,105.0
1991-12-01,104.9
1992-01-01,106.1
1992-02-01,105.8
1992-03-01,105.4
1992-04-01,105.2
1992-05-01,105.5
1992-06-01,105.4
1992-07-01,105.0
1992-08-01,105.1
1992-09-01,104.8
1992-10-01,105.4
1992-11-01,105.5
1992-12-01,105.4
1993-01-01,106.2
1993-02-01,106.8
1993-03-01,107.0
1993-04-01,111.2
1993-05-01,111.7
1993-06-01,111.9
1993-07-01,111.6
1993-08-01,112.6
1993-09-01,112.7
1993-10-01,113.2
1993-11-01,113.4
1993-12-01,113.4
1994-01-01,113.9
1994-02-01,114.5
1994-03-01,115.3
1994-04-01,117.7
1994-05-01,118.4
1994-06-01,119.5
1994-07-01,119.6
1994-08-01,120.7
1994-09-01,121.0
1994-10-01,121.5
1994-11-01,121.4
1994-12-01,121.3
1995-01-01,122.5
1995-02-01,123.2
1995-03-01,123.2
1995-04-01,128.0
1995-05-01,128.6
1995-06-01,128.5
1995-07-01,128.8
1995-08-01,128.8
1995-09-01,129.0
1995-10-01,128.8
1995-11-01,128.8
1995-12-01,128.5
1996-01-01,128.5
1996-02-01,129.2
1996-03-01,129.2
1996-04-01,132.3
1996-05-01,133.7
1996-06-01,133.8
1996-07-01,133.9
1996-08-01,134.2
1996-09-01,135.1
1996-10-01,135.2
1996-11-01,135.2
1996-12-01,134.8
1997-01-01,135.2
1997-02-01,135.5
1997-03-01,135.2
1997-04-01,137.9
1997-05-01,138.2
1997-06-01,138.9
1997-07-01,139.1
1997-08-01,139.5
1997-09-01,139.2
1997-10-01,139.5
1997-11-01,139.2
1997-12-01,139.3
1998-01-01,139.3
1998-02-01,139.6
1998-03-01,139.8
1998-04-01,144.0
1998-05-01,144.3
1998-06-01,145.5
1998-07-01,146.1
1998-08-01,146.4
1998-09-01,146.5
1998-10-01,146.4
1998-11-01,146.5
1998-12-01,146.5
1999-01-01,147.4
1999-02-01,147.5
1999-03-01,148.0
1999-04-01,149.1
1999-05-01,149.9
1999-06-01,149.9
1999-07-01,149.7
1999-08-01,149.8
1999-09-01,149.8
1999-10-01,149.5
1999-11-01,149.4
1999-12-01,149.0
2000-01-01,149.1
2000-02-01,148.3
2000-03-01,148.1
2000-04-01,148.6
2000-05-01,149.1
2000-06-01,149.3
2000-07-01,149.3
2000-08-01,148.8
2000-09-01,148.6
2000-10-01,148.4
2000-11-01,148.6
2000-12-01,147.5
2001-01-01,148.3
2001-02-01,148.0
2001-03-01,147.4
2001-04-01,148.9
2001-05-01,148.8
2001-06-01,148.6
2001-07-01,149.1
2001-08-01,149.1
2001-09-01,149.1
2001-10-01,149.4
2001-11-01,149.1
2001-12-01,149.0
2002-01-01,148.8
2002-02-01,148.4
2002-03-01,147.9
2002-04-01,151.8
2002-05-01,152.2
2002-06-01,151.9
2002-07-01,151.9
2002-08-01,152.7
2002-09-01,152.6
2002-10-01,152.6
2002-11-01,152.0
2002-12-01,151.0
2003-01-01,151.0
2003-02-01,151.1
2003-03-01,151.1
2003-04-01,150.7
2003-05-01,151.1
2003-06-01,151.2
2003-07-01,151.0
2003-08-01,150.6
2003-09-01,150.2
2003-10-01,149.6
2003-11-01,149.5
2003-12-01,149.4
2004-01-01,149.4
2004-02-01,149.5
2004-03-01,150.2
2004-04-01,152.1
2004-05-01,153.6
2004-06-01,153.9
2004-07-01,154.4
2004-08-01,157.7
2004-09-01,160.4
2004-10-01,160.4
2004-11-01,161.4
2004-12-01,161.5
2005-01-01,166.8
2005-02-01,168.8
2005-03-01,169.0
2005-04-01,171.8
2005-05-01,172.2
2005-06-01,172.5
2005-07-01,179.0
2005-08-01,179.2
2005-09-01,180.2
2005-10-01,180.3
2005-11-01,180.6
2005-12-01,181.3
2006-01-01,191.0
2006-02-01,191.5
2006-03-01,195.3
2006-04-01,196.7
2006-05-01,197.6
2006-06-01,197.8
2006-07-01,199.4
2006-08-01,200.0
2006-09-01,201.0
2006-10-01,201.0
2006-11-01,200.9
2006-12-01,200.8
2007-01-01,206.3
2007-02-01,204.3
2007-03-01,205.1
2007-04-01,210.0
2007-05-01,209.3
2007-06-01,208.3
2007-07-01,208.8
2007-08-01,208.3
2007-09-01,210.7
2007-10-01,210.2
2007-11-01,210.1
2007-12-01,209.1
2008-01-01,208.5
2008-02-01,208.9
2008-03-01,208.9
2008-04-01,210.4
2008-05-01,207.7
2008-06-01,204.1
2008-07-01,207.9
2008-08-01,207.9
2008-09-01,207.5
2008-10-01,207.8
2008-11-01,207.3
2008-12-01,206.9
2009-01-01,211.1
2009-02-01,207.2
2009-03-01,205.1
2009-04-01,209.5
2009-05-01,207.6
2009-06-01,204.9
2009-07-01,203.1
2009-08-01,202.1
2009-09-01,201.9
2009-10-01,200.6
2009-11-01,199.9
2009-12-01,198.5
2010-01-01,198.4
2010-02-01,197.9
2010-03-01,196.3
2010-04-01,194.6
2010-05-01,193.3
2010-06-01,192.3
2010-07-01,191.7
2010-08-01,191.5
2010-09-01,190.8
2010-10-01,190.0
2010-11-01,188.5
2010-12-01,187.9
2011-01-01,185.8
2011-02-01,185.4
2011-03-01,186.5
2011-04-01,189.0
2011-05-01,188.0
2011-06-01,186.9
2011-07-01,188.6
2011-08-01,187.8
2011-09-01,189.3
2011-10-01,180.8
