DATE,PERMIT
1987-01-01,1690
1987-02-01,1689
1987-03-01,1704
1987-04-01,1601
1987-05-01,1500
1987-06-01,1522
1987-07-01,1516
1987-08-01,1511
1987-09-01,1514
1987-10-01,1447
1987-11-01,1457
1987-12-01,1345
1988-01-01,1244
1988-02-01,1438
1988-03-01,1525
1988-04-01,1429
1988-05-01,1444
1988-06-01,1485
1988-07-01,1439
1988-08-01,1460
1988-09-01,1436
1988-10-01,1516
1988-11-01,1508
1988-12-01,1501
1989-01-01,1466
1989-02-01,1383
1989-03-01,1214
1989-04-01,1376
1989-05-01,1381
1989-06-01,1322
1989-07-01,1283
1989-08-01,1334
1989-09-01,1314
1989-10-01,1365
1989-11-01,1344
1989-12-01,1422
1990-01-01,1748
1990-02-01,1329
1990-03-01,1246
1990-04-01,1136
1990-05-01,1067
1990-06-01,1108
1990-07-01,1078
1990-08-01,1069
1990-09-01,976
1990-10-01,925
1990-11-01,941
1990-12-01,861
1991-01-01,786
1991-02-01,853
1991-03-01,911
1991-04-01,916
1991-05-01,991
1991-06-01,964
1991-07-01,973
1991-08-01,944
1991-09-01,974
1991-10-01,991
1991-11-01,984
1991-12-01,1061
1992-01-01,1077
1992-02-01,1146
1992-03-01,1082
1992-04-01,1054
1992-05-01,1056
1992-06-01,1057
1992-07-01,1089
1992-08-01,1075
1992-09-01,1114
1992-10-01,1132
1992-11-01,1118
1992-12-01,1176
1993-01-01,1177
1993-02-01,1148
1993-03-01,1056
1993-04-01,1104
1993-05-01,1112
1993-06-01,1130
1993-07-01,1174
1993-08-01,1230
1993-09-01,1251
1993-10-01,1287
1993-11-01,1357
1993-12-01,1461
1994-01-01,1390
1994-02-01,1269
1994-03-01,1342
1994-04-01,1392
1994-05-01,1396
1994-06-01,1357
1994-07-01,1335
1994-08-01,1377
1994-09-01,1412
1994-10-01,1397
1994-11-01,1340
1994-12-01,1396
1995-01-01,1282
1995-02-01,1254
1995-03-01,1226
1995-04-01,1259
1995-05-01,1271
1995-06-01,1305
1995-07-01,1354
1995-08-01,1386
1995-09-01,1421
1995-10-01,1400
1995-11-01,1430
1995-12-01,1442
1996-01-01,1387
1996-02-01,1420
1996-03-01,1437
1996-04-01,1463
1996-05-01,1457
1996-06-01,1429
1996-07-01,1450
1996-08-01,1413
1996-09-01,1392
1996-10-01,1358
1996-11-01,1412
1996-12-01,1411
1997-01-01,1382
1997-02-01,1445
1997-03-01,1436
1997-04-01,1421
1997-05-01,1414
1997-06-01,1402
1997-07-01,1440
1997-08-01,1449
1997-09-01,1494
1997-10-01,1499
1997-11-01,1469
1997-12-01,1456
1998-01-01,1555
1998-02-01,1647
1998-03-01,1605
1998-04-01,1547
1998-05-01,1554
1998-06-01,1551
1998-07-01,1610
1998-08-01,1654
1998-09-01,1577
1998-10-01,1719
1998-11-01,1672
1998-12-01,1742
1999-01-01,1732
1999-02-01,1720
1999-03-01,1665
1999-04-01,1600
1999-05-01,1640
1999-06-01,1702
1999-07-01,1682
1999-08-01,1671
1999-09-01,1551
1999-10-01,1649
1999-11-01,1672
1999-12-01,1683
2000-01-01,1727
2000-02-01,1692
2000-03-01,1651
2000-04-01,1597
2000-05-01,1543
2000-06-01,1572
2000-07-01,1542
2000-08-01,1552
2000-09-01,1570
2000-10-01,1577
2000-11-01,1614
2000-12-01,1543
2001-01-01,1699
2001-02-01,1656
2001-03-01,1659
2001-04-01,1666
2001-05-01,1665
2001-06-01,1626
2001-07-01,1598
2001-08-01,1615
2001-09-01,1565
2001-10-01,1566
2001-11-01,1651
2001-12-01,1680
2002-01-01,1665
2002-02-01,1787
2002-03-01,1691
2002-04-01,1669
2002-05-01,1716
2002-06-01,1758
2002-07-01,1738
2002-08-01,1695
2002-09-01,1803
2002-10-01,1799
2002-11-01,1771
2002-12-01,1896
2003-01-01,1808.0
2003-02-01,1854.0
2003-03-01,1757.0
2003-04-01,1803.0
2003-05-01,1835.0
2003-06-01,1875.0
2003-07-01,1885.0
2003-08-01,1966.0
2003-09-01,1961.0
2003-10-01,2012.0
2003-11-01,1918.0
2003-12-01,1987.0
2004-01-01,1952.0
2004-02-01,1966.0
2004-03-01,2066.0
2004-04-01,2070.0
2004-05-01,2150.0
2004-06-01,2020.0
2004-07-01,2112.0
2004-08-01,2056.0
2004-09-01,2041.0
2004-10-01,2097.0
2004-11-01,2079.0
2004-12-01,2082.0
2005-01-01,2139.0
2005-02-01,2114.0
2005-03-01,2062.0
2005-04-01,2150.0
2005-05-01,2085.0
2005-06-01,2178.0
2005-07-01,2203.0
2005-08-01,2219.0
2005-09-01,2263.0
2005-10-01,2170.0
2005-11-01,2218.0
2005-12-01,2120.0
2006-01-01,2212.0
2006-02-01,2141.0
2006-03-01,2118.0
2006-04-01,1998.0
2006-05-01,1905.0
2006-06-01,1867.0
2006-07-01,1763.0
2006-08-01,1722.0
2006-09-01,1655.0
2006-10-01,1570.0
2006-11-01,1535.0
2006-12-01,1638.0
2007-01-01,1626.0
2007-02-01,1598.0
2007-03-01,1596.0
2007-04-01,1470.0
2007-05-01,1493.0
2007-06-01,1407.0
2007-07-01,1361.0
2007-08-01,1321.0
2007-09-01,1261.0
2007-10-01,1192.0
2007-11-01,1224.0
2007-12-01,1149.0
2008-01-01,1094
2008-02-01,1014
2008-03-01,967
2008-04-01,1008
2008-05-01,995
2008-06-01,1180
2008-07-01,921
2008-08-01,858
2008-09-01,797
2008-10-01,736
2008-11-01,626
2008-12-01,554
2009-01-01,545
2009-02-01,558
2009-03-01,513
2009-04-01,521
2009-05-01,556
2009-06-01,601
2009-07-01,595
2009-08-01,616
2009-09-01,609
2009-10-01,583
2009-11-01,623
2009-12-01,664
2010-01-01,636
2010-02-01,650
2010-03-01,687
2010-04-01,637
2010-05-01,575
2010-06-01,587
2010-07-01,579
2010-08-01,580
2010-09-01,563
2010-10-01,558
2010-11-01,560
2010-12-01,632
2011-01-01,576
2011-02-01,542
2011-03-01,583
2011-04-01,581
2011-05-01,618
2011-06-01,636
2011-07-01,621
2011-08-01,647
2011-09-01,610
2011-10-01,671
2011-11-01,706
2011-12-01,697
2012-01-01,712.0
2012-02-01,738.0
2012-03-01,806.0
2012-04-01,732.0
2012-05-01,796.0
2012-06-01,794.0
2012-07-01,849.0
2012-08-01,840.0
2012-09-01,930.0
2012-10-01,887.0
2012-11-01,917.0
2012-12-01,941.0
2013-01-01,940.0
2013-02-01,980.0
2013-03-01,936.0
2013-04-01,1012.0
2013-05-01,1003.0
2013-06-01,942.0
2013-07-01,997.0
2013-08-01,964.0
2013-09-01,1004.0
2013-10-01,1044.0
2013-11-01,1029.0
2013-12-01,1005.0
2014-01-01,976.0
2014-02-01,1039.0
2014-03-01,1067.0
2014-04-01,1090.0
2014-05-01,1018.0
2014-06-01,1010.0
2014-07-01,1076.0
2014-08-01,1047.0
2014-09-01,1077.0
2014-10-01,1094.0
2014-11-01,1059.0
2014-12-01,1072.0
2015-01-01,1049.0
2015-02-01,1127.0
2015-03-01,1072.0
2015-04-01,1166.0
2015-05-01,1272.0
2015-06-01,1379.0
2015-07-01,1140.0
2015-08-01,1165.0
2015-09-01,1144.0
2015-10-01,1160.0
2015-11-01,1244.0
2015-12-01,1211.0
2016-01-01,1171.0
2016-02-01,1172.0
2016-03-01,1118.0
2016-04-01,1160.0
2016-05-01,1205.0
2016-06-01,1208.0
2016-07-01,1198.0
2016-08-01,1201.0
2016-09-01,1303.0
2016-10-01,1254.0
2016-11-01,1230.0
2016-12-01,1248.0
2017-01-01,1296.0
2017-02-01,1237.0
2017-03-01,1273.0
2017-04-01,1239.0
2017-05-01,1205.0
2017-06-01,1353.0
2017-07-01,1254.0
2017-08-01,1336.0
2017-09-01,1277.0
2017-10-01,1360.0
2017-11-01,1295.0
2017-12-01,1312.0
2018-01-01,1311.0
2018-02-01,1331.0
2018-03-01,1381.0
2018-04-01,1365.0
2018-05-01,1331.0
2018-06-01,1338.0
2018-07-01,1333.0
2018-08-01,1293.0
2018-09-01,1320.0
2018-10-01,1280.0
2018-11-01,1334.0
2018-12-01,1320.0
2019-01-01,1254.0
2019-02-01,1302.0
2019-03-01,1291.0
2019-04-01,1298.0
2019-05-01,1338.0
2019-06-01,1301.0
2019-07-01,1347.0
2019-08-01,1528.0
2019-09-01,1491.0
2019-10-01,1538.0
2019-11-01,1522.0
2019-12-01,1461.0
2020-01-01,1500.0
2020-02-01,1440.0
2020-03-01,1348.0
2020-04-01,1050.0
2020-05-01,1253.0
2020-06-01,1329.0
2020-07-01,1526.0
2020-08-01,1564.0
2020-09-01,1643.0
2020-10-01,1622.0
2020-11-01,1713.0
2020-12-01,1760.0
2021-01-01,1866.0
2021-02-01,1700.0
2021-03-01,1731.0
2021-04-01,1714.0
2021-05-01,1680.0
2021-06-01,1644.0
2021-07-01,1618.0
2021-08-01,1837.0
2021-09-01,1636.0
2021-10-01,1727.0
2021-11-01,1775.0
2021-12-01,1948.0
2022-01-01,1898.0
2022-02-01,1817.0
2022-03-01,1877.0
2022-04-01,1795.0
2022-05-01,1708.0
2022-06-01,1701.0
2022-07-01,1658.0
2022-08-01,1586.0
2022-09-01,1588.0
2022-10-01,1555.0
2022-11-01,1402.0
2022-12-01,1409.0
2023-01-01,1354.0
2023-02-01,1482.0
2023-03-01,1437.0
2023-04-01,1417.0
2023-05-01,1496.0
2023-06-01,1441.0
2023-07-01,1443.0
