DATE,POPTHM
1987-01-01,241857
1987-02-01,242005
1987-03-01,242166
1987-04-01,242338
1987-05-01,242516
1987-06-01,242706
1987-07-01,242908
1987-08-01,243118
1987-09-01,243335
1987-10-01,243543
1987-11-01,243724
1987-12-01,243895
1988-01-01,244056
1988-02-01,244205
1988-03-01,244362
1988-04-01,244528
1988-05-01,244708
1988-06-01,244914
1988-07-01,245131
1988-08-01,245352
1988-09-01,245579
1988-10-01,245789
1988-11-01,245970
1988-12-01,246140
1989-01-01,246301
1989-02-01,246454
1989-03-01,246626
1989-04-01,246814
1989-05-01,247010
1989-06-01,247228
1989-07-01,247458
1989-08-01,247695
1989-09-01,247942
1989-10-01,248174
1989-11-01,248380
1989-12-01,248569
1990-01-01,248743
1990-02-01,248920
1990-03-01,249146
1990-04-01,249436
1990-05-01,249707
1990-06-01,249990
1990-07-01,250285
1990-08-01,250595
1990-09-01,250904
1990-10-01,251201
1990-11-01,251486
1990-12-01,251758
1991-01-01,252012
1991-02-01,252253
1991-03-01,252507
1991-04-01,252778
1991-05-01,253060
1991-06-01,253350
1991-07-01,253650
1991-08-01,253966
1991-09-01,254280
1991-10-01,254576
1991-11-01,254841
1991-12-01,255089
1992-01-01,255331
1992-02-01,255576
1992-03-01,255848
1992-04-01,256139
1992-05-01,256437
1992-06-01,256742
1992-07-01,257063
1992-08-01,257390
1992-09-01,257704
1992-10-01,258004
1992-11-01,258280
1992-12-01,258546
1993-01-01,258799
1993-02-01,259036
1993-03-01,259283
1993-04-01,259547
1993-05-01,259822
1993-06-01,260109
1993-07-01,260411
1993-08-01,260717
1993-09-01,261015
1993-10-01,261294
1993-11-01,261550
1993-12-01,261796
1994-01-01,262021
1994-02-01,262237
1994-03-01,262491
1994-04-01,262754
1994-05-01,263014
1994-06-01,263294
1994-07-01,263580
1994-08-01,263871
1994-09-01,264159
1994-10-01,264430
1994-11-01,264681
1994-12-01,264924
1995-01-01,265157
1995-02-01,265383
1995-03-01,265625
1995-04-01,265877
1995-05-01,266134
1995-06-01,266414
1995-07-01,266700
1995-08-01,266998
1995-09-01,267304
1995-10-01,267585
1995-11-01,267829
1995-12-01,268047
1996-01-01,268258
1996-02-01,268480
1996-03-01,268724
1996-04-01,268980
1996-05-01,269247
1996-06-01,269527
1996-07-01,269822
1996-08-01,270130
1996-09-01,270433
