DATE,UNDCONTSA
1987-01-01,1090
1987-02-01,1096
1987-03-01,1084
1987-04-01,1079
1987-05-01,1070
1987-06-01,1060
1987-07-01,1051
1987-08-01,1045
1987-09-01,1048
1987-10-01,1041
1987-11-01,1042
1987-12-01,1018
1988-01-01,1008
1988-02-01,976
1988-03-01,994
1988-04-01,999
1988-05-01,987
1988-06-01,980
1988-07-01,971
1988-08-01,967
1988-09-01,958
1988-10-01,953
1988-11-01,960
1988-12-01,955
1989-01-01,955
1989-02-01,947
1989-03-01,940
1989-04-01,922
1989-05-01,913
1989-06-01,913
1989-07-01,918
1989-08-01,901
1989-09-01,895
1989-10-01,897
1989-11-01,882
1989-12-01,885
1990-01-01,891
1990-02-01,898
1990-03-01,885
1990-04-01,872
1990-05-01,858
1990-06-01,846
1990-07-01,831
1990-08-01,813
1990-09-01,793
1990-10-01,766
1990-11-01,758
1990-12-01,745
1991-01-01,716
1991-02-01,710
1991-03-01,678
1991-04-01,670
1991-05-01,662
1991-06-01,654
1991-07-01,652
1991-08-01,651
1991-09-01,633
1991-10-01,630
1991-11-01,636
1991-12-01,633
1992-01-01,639
1992-02-01,630
1992-03-01,656
1992-04-01,650
1992-05-01,650
1992-06-01,644
1992-07-01,629
1992-08-01,635
1992-09-01,638
1992-10-01,643
1992-11-01,641
1992-12-01,638
1993-01-01,636
1993-02-01,640
1993-03-01,633
1993-04-01,636
1993-05-01,648
1993-06-01,654
1993-07-01,663
1993-08-01,665
1993-09-01,677
1993-10-01,687
1993-11-01,695
1993-12-01,703
1994-01-01,709
1994-02-01,716
1994-03-01,732
1994-04-01,740
1994-05-01,749
1994-06-01,757
1994-07-01,764
1994-08-01,773
1994-09-01,774
1994-10-01,775
1994-11-01,785
1994-12-01,784
1995-01-01,783
1995-02-01,793
1995-03-01,771
1995-04-01,761
1995-05-01,758
1995-06-01,759
1995-07-01,762
1995-08-01,774
1995-09-01,780
1995-10-01,781
1995-11-01,786
1995-12-01,799
1996-01-01,803
1996-02-01,793
1996-03-01,814
1996-04-01,827
1996-05-01,832
1996-06-01,826
1996-07-01,824
1996-08-01,820
1996-09-01,824
1996-10-01,821
1996-11-01,829
1996-12-01,814
1997-01-01,817
1997-02-01,810
1997-03-01,808
1997-04-01,810
1997-05-01,816
1997-06-01,826
1997-07-01,836
1997-08-01,836
1997-09-01,846
1997-10-01,858
1997-11-01,865
1997-12-01,872
1998-01-01,886
1998-02-01,896
1998-03-01,905
1998-04-01,906
1998-05-01,912
1998-06-01,927
1998-07-01,938
1998-08-01,941
1998-09-01,952
1998-10-01,972
1998-11-01,976
1998-12-01,1003
1999-01-01,973
1999-02-01,989
1999-03-01,994
