DATE,p_saving_rate,target,mortgage_rate,IPI_Cement,PPI_Cement,permit,PPI_Concrete,population,new_private_house,emratio,income,new_private_hw_under,GDP,home_ow_rate,house_st,total_emp_cons,labor_percent,all_Const_Emp,monthly_supply,unemployed_rate,MSPUS
1987-01-01,9.4,63.735,9.204,123.7373,100.1,1690.0,4.703203926259457,241857.0,7974.739004082003,61.0,3820.2,1090.0,4722.156,63.9,1774.0,5007.0,65.4,722.3,6.0,6.6,97900.0
1987-02-01,8.2,64.135,9.0825,123.167,100.8,1689.0,4.703203926259457,242005.0,7502.24430451593,61.1,3845.0,1096.0,4722.156,63.9,1784.0,5038.0,65.5,724.2,6.2,6.6,97900.0
1987-03-01,8.1,64.47,9.035,122.5706,101.2,1704.0,4.703203926259457,242166.0,7106.570176444392,61.2,3863.8,1084.0,4722.156,63.9,1726.0,5039.0,65.5,727.9,6.0,6.6,97900.0
1987-04-01,4.1,64.973,9.8325,123.5345,100.8,1601.0,4.703203926259457,242338.0,7316.773819285743,61.3,3875.4,1079.0,4806.16,63.9,1614.0,5053.0,65.4,728.1,6.0,6.3,103400.0
1987-05-01,7.8,65.547,10.596,123.8454,101.2,1500.0,4.697749367281185,242516.0,7203.8445013151595,61.6,3908.6,1070.0,4806.16,63.9,1628.0,5080.0,65.7,727.6,6.7,6.3,103400.0
1987-06-01,7.3,66.218,10.5375,123.3012,101.2,1522.0,4.697749367281185,242706.0,6806.040808835118,61.4,3919.7,1060.0,4806.16,63.9,1594.0,5086.0,65.5,728.5,6.9,6.2,103400.0
1987-07-01,7.1,66.786,10.278,127.3025,101.1,1516.0,4.697749367281185,242908.0,7060.576161749268,61.6,3942.1,1051.0,4884.555,64.1,1575.0,5092.0,65.6,732.1,6.7,6.1,106000.0
1987-08-01,6.8,67.27,10.33,122.6327,101.1,1511.0,4.697749367281185,243118.0,6750.269996902134,61.8,3978.6,1045.0,4884.555,64.1,1605.0,5102.0,65.7,729.2,6.8,6.0,106000.0
1987-09-01,7.2,67.624,10.8875,125.4097,101.1,1514.0,4.697749367281185,243335.0,6563.287443070124,61.6,3995.6,1048.0,4884.555,64.1,1695.0,5096.0,65.5,731.6,6.8,5.9,106000.0
1987-10-01,7.9,67.903,11.26,127.4145,101.0,1447.0,4.697749367281185,243543.0,6512.914618527864,61.8,4034.7,1041.0,5007.994,64.1,1515.0,5142.0,65.7,741.3,6.8,6.0,111500.0
1987-11-01,8.2,68.093,10.65,127.2895,100.9,1457.0,4.697749367281185,243724.0,6517.9487561796805,61.9,4062.1,1042.0,5007.994,64.1,1656.0,5152.0,65.7,742.8,7.0,5.8,111500.0
1987-12-01,8.4,68.344,10.64,124.5768,100.6,1345.0,4.697749367281185,243895.0,6790.822401217446,62.0,4115.7,1018.0,5007.994,64.1,1400.0,5180.0,65.7,743.5,7.6,5.7,111500.0
1988-01-01,7.9,68.583,10.3825,111.7494,100.7,1244.0,4.697749367281185,244056.0,6397.323388707356,62.0,4128.2,1008.0,5073.372,63.8,1271.0,5094.0,65.8,745.0,7.5,5.7,110000.0
1988-02-01,8.4,68.916,9.8925,119.6235,101.5,1438.0,4.697749367281185,244205.0,5879.39229258773,62.1,4153.0,976.0,5073.372,63.8,1473.0,5162.0,65.9,747.0,6.6,5.7,110000.0
1988-03-01,8.0,69.325,9.93,124.8638,101.1,1525.0,4.722063937459591,244362.0,6628.8762162507355,61.9,4178.3,994.0,5073.372,63.8,1532.0,5201.0,65.7,750.1,6.6,5.7,110000.0
1988-04-01,8.7,69.789,10.202,123.2387,101.6,1429.0,4.722063937459591,244528.0,6704.700896116621,62.2,4209.5,999.0,5190.036,63.8,1573.0,5227.0,65.8,754.0,6.4,5.4,110000.0
1988-05-01,8.3,70.40899999999999,10.455,125.8846,102.3,1444.0,4.722063937459591,244708.0,6042.880923028502,62.0,4225.9,987.0,5190.036,63.8,1421.0,5228.0,65.7,751.2,6.6,5.6,110000.0
1988-06-01,8.4,71.068,10.46,126.7927,101.7,1485.0,4.722063937459591,244914.0,6187.213553543342,62.3,4258.9,980.0,5190.036,63.8,1478.0,5261.0,65.8,757.0,6.2,5.4,110000.0
1988-07-01,8.6,71.686,10.432,120.8889,101.5,1439.0,4.72384171570559,245131.0,6262.1076928491875,62.3,4298.8,971.0,5282.835,63.8,1467.0,5270.0,65.9,747.1,6.6,5.4,115000.0
